,location,text,location2,point,latitude,longitude,altitude
5453,Margate,And another one. Please take note of what healthcare workers in Italy are saying and experiencing 👇thread… https://t.co/DHTd0ollqT,"Margate, Kent, South East, England, United Kingdom","(51.3894329, 1.3821515, 0.0)",51.3894329,1.3821515,0.0
5454,"West Side, Chicago","United Center to fans: 'Hospital-grade disinfectant' to be used on armrests as precaution against coronavirus

(Via… https://t.co/NKFUBzHvnl","Chicago, North Franklin Street, Chicago River North, Near North Side, Chicago, Cook County, Illinois, 60610, United States of America","(41.8964706, -87.6357194, 0.0)",41.8964706,-87.6357194,0.0
5460,USA,@Zuzu1025 @wdunlap @charliekirk11 Which President Trump did as well for the Coronavirus. https://t.co/aoVsEZRHXs,United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
5486,NC,Hill leaders struggle with twin coronavirus challenges: Protect the nation — and themselves https://t.co/ENUO5iYDuP via @politico,"North Carolina, United States of America","(35.6729639, -79.0392919, 0.0)",35.6729639,-79.0392919,0.0
5487,LDN,@burnafj Also the mortality for Coronavirus is quite light of youre not old old. Swine flu was killing anybody,"LDN, Čapkova, Radvanice, Ostrava, okres Ostrava-město, Moravskoslezský kraj, Moravskoslezsko, 71600, Česká republika","(49.8175142, 18.3489408, 0.0)",49.8175142,18.3489408,0.0
5488,"Michigan, USA","@realDonaldTrump Matt Gaetz 
Ted Cruz
Mark Meadows 
Are ALL in Voluntary Quarantine because of the Highly Contagiou… https://t.co/7JRkQMKGty","Michigan, United States of America","(43.6211955, -84.6824346, 0.0)",43.6211955,-84.6824346,0.0
5494,United Kingdom,thinking about it I’m probably more likely to actually get the coronavirus now because I’m so run down and my immun… https://t.co/spReOCRYMk,United Kingdom,"(54.7023545, -3.2765753, 0.0)",54.7023545,-3.2765753,0.0
5495,"31 Main St, Newbridge, Kildare","Travel Insurance &amp; Covid 19 Frequently Asked Questions:

https://t.co/jzW3KcYkQw","Main Street, Rathangan, Rathangan ED, Rathangan, County Kildare, Leinster, Ireland","(53.2210008, -6.9948062, 0.0)",53.2210008,-6.9948062,0.0
5504,"Alsace, France   ",@RKJ65 @realDonaldTrump Coronavirus is harmless,"Alsace, Grand Est, France métropolitaine, France","(48.24917645, 7.407469951855499, 0.0)",48.24917645,7.407469951855499,0.0
5516,Dimension C-137,The ones complaining of #ToiletPaperPanic are the only ones that haven’t spent the last several years preparing for… https://t.co/UC5iQTCUlI,"Dimension Drive, Crosswoods, Columbus, Franklin County, Ohio, 43085, United States of America","(40.1168209, -83.0131972, 0.0)",40.1168209,-83.0131972,0.0
5524,"Northampton, England",Football in this country is about to come to a complete halt. Forest's owner met the players before their game on F… https://t.co/ySdmRwoNSH,"Northampton, Northamptonshire, East Midlands, England, United Kingdom","(52.2381355, -0.8963907, 0.0)",52.2381355,-0.8963907,0.0
5535,"Nashville, TN",everyone is going to get a small taste of the tenuous existence of sick people under healthcare coverage austerity,"Nashville-Davidson, Davidson County, Tennessee, United States of America","(36.1622296, -86.7743531, 0.0)",36.1622296,-86.7743531,0.0
5551,Worldwide,"Coronavirus Is better than Liberal Nasoooor..😡
#CoronaVirusPakistan","Worldwide, Crescent Road, Crumpsall, Manchester, Greater Manchester, North West England, England, M8 9JX, United Kingdom","(53.5120412, -2.2434612, 0.0)",53.5120412,-2.2434612,0.0
5556,"Fuensalida, España",UNVOXING,"Fuensalida, Torrijos, Toledo, Castilla-La Mancha, 45510, España","(40.0525597, -4.2088639, 0.0)",40.0525597,-4.2088639,0.0
5561,"London, England",@guardian #Coronavirus has #keystructuralproteins of #HIV #indicating the #virus is #manmade and was #developed in… https://t.co/dr0b0GYY9T,"London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)",51.5073219,-0.1276474,0.0
5563,Blacksburg,"19/523=3.6% death rate
45,000/46 million=0.098% death rate
That’s 36.73 times more deadly. 
Nice Work, Darren.","Blacksburg, Montgomery County, Virginia, United States of America","(37.2296566, -80.4136767, 0.0)",37.2296566,-80.4136767,0.0
5621,Boston,Will #coronavirus force the cancellation of the Boston Marathon.  It has never been cancelled in its 124 years but… https://t.co/LakRDu9BqZ,"Boston, Suffolk County, Massachusetts, United States of America","(42.3602534, -71.0582912, 0.0)",42.3602534,-71.0582912,0.0
5633,"Emeryville, CA","With the coronavirus going around, remember to wash your hands and listen to @BarPreachers https://t.co/YMl4melNP6","Emeryville, Essex County, Southwestern Ontario, Ontario, N0R 1C0, Canada","(42.2976601, -82.7613582, 0.0)",42.2976601,-82.7613582,0.0
