,location,text,location2,point,latitude,longitude,altitude
8133,Middle East ,"Iran coronavirus deaths reach 291, cases at more than 8,000: health ministry https://t.co/BOOAA9GR2t","ZuZu, 474, Massachusetts Avenue, Central Square, Cambridge, Middlesex County, Massachusetts, 02139, United States of America","(42.3638002, -71.1013814, 0.0)",42.3638002,-71.1013814,0.0
8134,"Oxford, UK","Food banks cut the size of parcels by 25% when, in a week or two, their kids may no longer get free school meals.… https://t.co/MVGvzWQv9a","Oxford, Oxfordshire, South East, England, United Kingdom","(51.7520131, -1.2578499, 0.0)",51.7520131,-1.2578499,0.0
8154,"Paris, France","#Paris #Airports director tests positive for #coronavirus 
#coronavirusFR
https://t.co/qylunVdMVQ","Paris, Île-de-France, France métropolitaine, France","(48.8566969, 2.3514616, 0.0)",48.8566969,2.3514616,0.0
8171,"Detroit, MI",Best thing I’ve read so far. It also helps me understand my own attempts to balance my own fears/anxiety &amp; annoyanc… https://t.co/ITOUGjPBQ6,"Detroit, Wayne County, Michigan, United States of America","(42.3315509, -83.0466403, 0.0)",42.3315509,-83.0466403,0.0
8178,London ,Didn’t see this did they challenge him on this?,"London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)",51.5073219,-0.1276474,0.0
8183,18,@vampirebIues CEO of Coronavirus.,"Cher, Centre-Val de Loire, France métropolitaine, France","(47.024882399999996, 2.5753333606655704, 0.0)",47.024882399999996,2.5753333606655704,0.0
8186,"Queens, NY","@GOPLeader The CHINESE coronavirus?  How about just caronavirus.  It wasn’t borne out of an ethnicity, but rather a region, dumbass.","Queens, Queens County, New York, United States of America","(40.7498243, -73.7976337, 0.0)",40.7498243,-73.7976337,0.0
8203,Australia,@MysterySolvent He doesn't want to listen to any talk about the coronavirus hoax. Especially while everyone's criti… https://t.co/SkJgPWwzWd,Australia,"(-24.7761086, 134.755, 0.0)",-24.7761086,134.755,0.0
8222,"Tehran, Iran","#BREAKING #Iran confirms 881 new cases of #coronavirus infections, including record-breaking 54 new deaths in past… https://t.co/Z9QunfWua9","تهران, بخش مرکزی شهرستان تهران, شهرستان تهران, استان تهران, ایران","(35.7006177, 51.4013785, 0.0)",35.7006177,51.4013785,0.0
8235,London ,This this this,"London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)",51.5073219,-0.1276474,0.0
8248,illinois,If we had Medicare for all we would all die of the #WuhanVirus,"Illinois, United States of America","(40.0796606, -89.4337288, 0.0)",40.0796606,-89.4337288,0.0
8260,Egypt,"26 Coronavirus Cases Recovered in Egypt😷😷😷

#SEENews #Egypt #CoronavirusOutbreak
#كورونا_الجديد
 https://t.co/Mmz9q4IAgm",مصر,"(26.2540493, 29.2675469, 0.0)",26.2540493,29.2675469,0.0
8299,Australia,Best #coronavirus analysis from an economic standpoint.,Australia,"(-24.7761086, 134.755, 0.0)",-24.7761086,134.755,0.0
8303,"Johannesburg, South Africa","Washing your hands is the key to minimizing the novel coronavirus’powers of destruction. Hand washing really, reall… https://t.co/qBlUq7yflC","Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa","(-26.205, 28.049722, 0.0)",-26.205,28.049722,0.0
8306,"California, USA","All this mob boss president worries about is image.  
This would be funnier if it weren't so painfully true...

Mar… https://t.co/jXssluYNrf","California, United States of America","(36.7014631, -118.7559974, 0.0)",36.7014631,-118.7559974,0.0
8324,Republic of Croatia,"@tob33zy The cheapest we found was €245 and if coronavirus gets crazy, I get nothing back because there is no refun… https://t.co/qfTPo5dLKe",Hrvatska,"(45.5643442, 17.0118954, 0.0)",45.5643442,17.0118954,0.0
8325,"New York, NY","""We've really not set the agenda here for the American public I think in a realistic way,"" says @mtosterholm on… https://t.co/GTGD0Jo1Mf","New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
8334,"New York, NY","American to slash domestic, international flights as coronavirus hurts demand https://t.co/ijylniAem9","New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
8340,"Idaho, USA","I don’t know why they’re “unsettled”...I think Trump has done a fine job. In fact, I’m sure he’s totally exhausted… https://t.co/V08qv9aT44","Idaho, United States of America","(43.6447642, -114.0154071, 0.0)",43.6447642,-114.0154071,0.0
8357,"St. Albert, Alberta","Italy grappled with the fallout from the coronavirus epidemic, including a wave of rioting in its prisons https://t.co/gWFzY90uqO","City of St. Albert, Alberta, Canada","(53.633239, -113.628845, 0.0)",53.633239,-113.628845,0.0
8369,United Kingdom,I see there's no shortgage of idiots (yes idiots) using the hashtag #takeitonthechin in the hope that people are di… https://t.co/Erk5dwCmia,United Kingdom,"(54.7023545, -3.2765753, 0.0)",54.7023545,-3.2765753,0.0
8412,"Pittsburgh, PA",The government is lookin' out for you!,"Pittsburgh, Allegheny County, Pennsylvania, 15262, United States of America","(40.4416941, -79.9900861, 0.0)",40.4416941,-79.9900861,0.0
8415,"Martinsville, NJ","via @NYTOpinion  What’s the difference between a handful of people gathering in a church, keeping safely at distanc… https://t.co/vRGeAWmDkE","Martinsville, Somerset County, New Jersey, 08836, United States of America","(40.6012136, -74.5590452, 0.0)",40.6012136,-74.5590452,0.0
8439,Planet Earth,Cult.,"Planet Earth, Sarjapura Road, Panathur, Ambedkar Nagara, Bangalore East, Bangalore Urban, Karnataka, 562125, India","(12.8831063, 77.7501677, 0.0)",12.8831063,77.7501677,0.0
8447,India,Super really Hero 👌👌👌,India,"(22.3511148, 78.6677428, 0.0)",22.3511148,78.6677428,0.0
8454,"Johannesburg, South Africa",Check out how #Rwanda is going about preventing #COVID19 #CoronavirusOutbreak .,"Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa","(-26.205, 28.049722, 0.0)",-26.205,28.049722,0.0
8476,"Miami, FL",President Trump Announces Payroll Tax Cut Relief - Paid Sick Leave - in Response to Coronavirus Panic (VIDEO)… https://t.co/ToAKdNo8Z2,"Miami, Miami-Dade County, Florida, United States of America","(25.7742658, -80.1936589, 0.0)",25.7742658,-80.1936589,0.0
8481,The United States of America,"The Wuhan Virus? So either it's just another flu, or it's an extinction level event. If only I had some hand saniti… https://t.co/eKZUsigvb2",United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
8483,"New York, NY ",Coronavirus: The Case for Canceling Everything - The Atlantic https://t.co/CpbBWps1ZY,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
8486,"Granite City, IL",This guy from Ladue has created quite the shit storm for himself &amp; his family. What a jerk.,"Granite City, Madison, Illinois, 62040, United States of America","(38.7014389, -90.1487199, 0.0)",38.7014389,-90.1487199,0.0
8489,United States 🇺🇸,Is this why Mick Mulvaney was canned? Is he the CPAC Coronavirus patient? 🔥💥☄️,United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
8492,New York,what time,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
8500,"Scotland, United Kingdom","LIVE: UK medical chief warns ‘many thousands of people’ to be infected across country, as Italian  #coronavirus #covid19","Scotland, United Kingdom","(56.7861112, -4.1140518, 0.0)",56.7861112,-4.1140518,0.0
8525,Ohio,World Bank's $500m pandemic scheme accused of 'waiting for people to die' https://t.co/ySJSqEh3po,"Ohio, United States of America","(40.2253569, -82.6881395, 0.0)",40.2253569,-82.6881395,0.0
8529,China,"@BillyBostickson I know, it sucks. Next time it will be him https://t.co/AL9drjH8B1",中国,"(35.000074, 104.999927, 0.0)",35.000074,104.999927,0.0
8533,USA,Tax cuts are Republicans’ Robitussin. Economic boom? Tax cuts. Recession? Tax cuts. Hurricane? Tax cuts. Public hea… https://t.co/okBuFUZCKq,United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
8539,New Jersey,Rep. Mark Meadows Under Self-Quarantine After Possible Coronavirus Exposure https://t.co/8xWF10uBz3 https://t.co/wr3IG4crYP,"New Jersey, United States of America","(40.0757384, -74.4041622, 0.0)",40.0757384,-74.4041622,0.0
8559,"Helsinki, Finland",Coronavirus could cripple electronics industry https://t.co/FNxPDJHQsv,"Helsinki, Helsingin seutukunta, Uusimaa, Manner-Suomi, Suomi","(60.1674098, 24.9425769, 0.0)",60.1674098,24.9425769,0.0
8568,Swanwick,"So... I'm hearing he met the Forest players on Friday... who then met the Millwall players... who then... 

What ne… https://t.co/4ooDL6MRnk","Swanwick, Derbyshire, East Midlands, England, DE55 1AB, United Kingdom","(53.0761731, -1.3993137, 0.0)",53.0761731,-1.3993137,0.0
8572,"Cork, Ireland",@ZaraKing @dfatirl Too late to shut the stable door after horse has bolted. How many Italians flew into Ireland las… https://t.co/ywym5KKfpV,"Cork, Cork City 2019, County Cork, Munster, T12 EE6N, Ireland","(51.8979282, -8.4705806, 0.0)",51.8979282,-8.4705806,0.0
8592,Dublin via Belfast,"""The festival’s cancellation insurance policy did not include an extra provision for communicable disease coverage""… https://t.co/NcuyyayILv","Belfast, Russell County, Virginia, United States of America","(36.9837239, -81.8542872, 0.0)",36.9837239,-81.8542872,0.0
8600,UK,"When I watched that recent clip of Johnson on This Morning talking about the coronavirus, I thought

I hate that ma… https://t.co/AKAs4PqifQ",United Kingdom,"(54.7023545, -3.2765753, 0.0)",54.7023545,-3.2765753,0.0
8601,London,"Reading the reports out of Italy and China, it becomes clear that only a serious effort at containment is going to… https://t.co/3T9Z2V2v0e","London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)",51.5073219,-0.1276474,0.0
8602,South Florida ,Refusing to provide basic health info to a group of people is #NotProLife,"South Florida, Columbus, Cherokee County, Kansas, 66725, United States of America","(37.1677128, -94.8464256, 0.0)",37.1677128,-94.8464256,0.0
8612,New York & Rio de Janeiro,@KumarAGarg @BARDA @nature @wellcometrust @SolveMIT @hackingdata @alexismadrigal @gatesfoundation @wellcometrust &amp;… https://t.co/k2g3x5l9Xn,"New York, Avenida das Américas, Barra da Tijuca, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22640-102, Brasil","(-22.99938015, -43.35345565, 0.0)",-22.99938015,-43.35345565,0.0
8617,"Virginia, USA",Trump allegedly fails the coronavirus crisis leadership test - however the author shows why he should be thrown off… https://t.co/5dcH0Hxn2f,"Virginia, United States of America","(37.1232245, -78.4927721, 0.0)",37.1232245,-78.4927721,0.0
8625,"Sobonakhona, South Africa","Lies, Parody account","Sobonakhona Road, eThekwini Ward 99, Umkomaas, eThekwini Metropolitan Municipality, KwaZulu-Natal, 4170, South Africa","(-30.1705606, 30.774437, 0.0)",-30.1705606,30.774437,0.0
8630,Lebanon,"In #Syria, #Coronavirus has spread to 4 governorates: Damascus, Tartus, Latakia and Homs. Doctors confirmed they we… https://t.co/r2DlkqVbcW",لبنان,"(33.8750629, 35.843409, 0.0)",33.8750629,35.843409,0.0
8632,"Ontario, CA",@CarnivalCruise this is ridiculous! I woke up at 4am to call and both lines say network improvement is in process.… https://t.co/Y9NfTgJlyF,"Ontario, Canada","(50.000678, -86.000977, 0.0)",50.000678,-86.000977,0.0
8653,Singapore,"Coronavirus can travel twice as far as official ‘safe distance’ and stay in air for 30 minutes, Chinese study finds https://t.co/t8aHHXaQOH",Singapore,"(1.357107, 103.8194992, 0.0)",1.357107,103.8194992,0.0
8654,UK-based,"New today: La Liga's next two weeks of games to be played without fans. 

Below is the UK government 
position as P… https://t.co/IGOJyvJwvQ","Land Based Studies, New Dover Road, Longport, Canterbury, Kent, South East, England, CT1 3AJ, United Kingdom","(51.275367599999996, 1.0922508245061544, 0.0)",51.275367599999996,1.0922508245061544,0.0
8656,"Los Angeles, CA","In South Korea, a drone can spray disinfectant over an area the size of a Walmart store. #mppdigital https://t.co/42l7rAMaM3","Los Angeles, Los Angeles County, California, United States of America","(34.0536909, -118.2427666, 0.0)",34.0536909,-118.2427666,0.0
8679,"Chadds Ford, PA","@marcorubio @SenateGOP @SenateGOP undermined their OWN credibility &amp; continue to do so by blaming MSM, demonizing D… https://t.co/EI2WYRjWFP","Chadds Ford, Delaware County, Pennsylvania, 19317, United States of America","(39.872027, -75.5914213, 0.0)",39.872027,-75.5914213,0.0
8685,ɥʇɹɐǝ,"@liminal_warmth it is in fact genetic *and* other things, symbols etc.

the y-chromosome encodes genes that, unlike… https://t.co/NJKVglHIWn","Rangárþing ytra, Suðurland, Ísland","(63.989909049999994, -19.709105302041856, 0.0)",63.989909049999994,-19.709105302041856,0.0
8697,"London, Europe","Erm... Finger licking - bad.
#coronavirus https://t.co/aMnrRSbY8S","London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)",51.5073219,-0.1276474,0.0
8707,"South East, England","#KeepCalmTravelOn is at best misjudged, or at worst it's irresponsible corporate marketing that champions iffy Fore… https://t.co/cwuAf8YRJ7","England, Katrineholms kommun, Södermanlands län, Svealand, Sverige","(59.074495850000005, 16.32211780440771, 0.0)",59.074495850000005,16.32211780440771,0.0
8712,Quezon City,The National Disaster Risk Reduction and Management Council on Tuesday announced that the first quarter Nationwide… https://t.co/g1JyNRSYBc,"Quezon City, 4th District, Quezon City, Metro Manila, 1100, Philippines","(14.6509905, 121.0486155, 0.0)",14.6509905,121.0486155,0.0
8717,San Francisco & Edinburgh,"#SXSW falls to #CoronaVirus.
https://t.co/IgN21vGXLY","Edinburgh Street, Crocker-Amazon, San Francisco, San Francisco City and County, California, 94112, United States of America","(37.7145441, -122.4370468, 0.0)",37.7145441,-122.4370468,0.0
8718,"Pavia, Iloilo, Philippines","Philippine shares fell on Monday as the number of confirmed coronavirus infections increased, with stocks approachi… https://t.co/wO8hP3IqaA","Pavia, Iloilo, Western Visayas, 5001, Philippines","(10.7748057, 122.5419293, 0.0)",10.7748057,122.5419293,0.0
8720,"Columbus, Ohio",Ohio has now opened a call center for anyone with questions about the potential spread of coronavirus and COVID-19.… https://t.co/jP57TXbmWV,"Columbus, Franklin County, Ohio, United States of America","(39.9622601, -83.0007065, 0.0)",39.9622601,-83.0007065,0.0
8723,"Beijing, China",#ShePower Women power in #China's battle against the novel #coronavirus https://t.co/LIBH3pVKfO,"北京市, 东城区, 北京市, 100010, China 中国","(39.906217, 116.3912757, 0.0)",39.906217,116.3912757,0.0
8727,"Dallas-Fort Worth, TX",How are the Stars handling the coronavirus? @seanshapiro has the details of the team's newly implemented protocol.… https://t.co/4hVF7YWxUK,"Dallas Avenue, Fort Worth, Tarrant County, Texas, 76112, United States of America","(32.737242, -97.232572, 0.0)",32.737242,-97.232572,0.0
8730,Australia,"How the coronavirus compares to SARS, swine flu, Zika, and other epidemics

https://t.co/jyuOS9LXes",Australia,"(-24.7761086, 134.755, 0.0)",-24.7761086,134.755,0.0
8731,"New York, NY",Passengers on the Grand Princess have been sent to military bases for isolation and quarantine after disembarking f… https://t.co/Ul6rMPjms2,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
8736,"Beijing, China","#Opinion: As a whole, stormy weather and rough seas are coming. #finance #stockmarket #COVID19 #coronavirus","北京市, 东城区, 北京市, 100010, China 中国","(39.906217, 116.3912757, 0.0)",39.906217,116.3912757,0.0
8738,"Chicago / Homewood, IL","Tuesday's @LO_Blackhawks - 03.10.2020 - Talkback Tuesday, Sundqvist fined, Coronavirus fears' by Locked On… https://t.co/AUukAVgubN","South Homewood Avenue, Morgan Park, Chicago, Cook County, Illinois, 60643, United States of America","(41.6846513, -87.6703414, 0.0)",41.6846513,-87.6703414,0.0
8746,"Columbus, OH",Conditional coronavirus relief provided by SEC https://t.co/jsD252iprr @AICPA_JofA,"Columbus, Franklin County, Ohio, United States of America","(39.9622601, -83.0007065, 0.0)",39.9622601,-83.0007065,0.0
8747,"The City of Cincinnati, Ohio","She wants to prove her point by contracting Corona Virus"" 😷😷😂😞","Tower Place at the Carew Tower, West 4th Street, Lytle Park Historic District, Central Business District, Cincinnati, Hamilton County, Ohio, 45202-2209, United States of America","(39.1001295, -84.51391083056166, 0.0)",39.1001295,-84.51391083056166,0.0
8748,"Lansing, Michigan","Michigan State University students respond to coronavirus precautions
shttps://www.fox47news.com/news/local-news/mi… https://t.co/1czpOzpBQz","Lansing, Ingham County, Michigan, United States of America","(42.7337712, -84.5553805, 0.0)",42.7337712,-84.5553805,0.0
8753,"Austin, TX",#FACTSNOTFEAR: @US_FDA warns companies to stop selling fraudulent products that claim to treat #coronavirus https://t.co/Ogx5NJJfcE,"Austin, Travis County, Texas, United States of America","(30.2711286, -97.7436995, 0.0)",30.2711286,-97.7436995,0.0
8755,New Delhi,Slogans of “Corona Go! Go Corona!” were raised by the Minister of State for Social Justice and Empowerment in the p… https://t.co/0DpobpS5xc,"New Delhi, Delhi, India","(28.6141793, 77.2022662, 0.0)",28.6141793,77.2022662,0.0
8762,"Akron, OH",Also let's not forget that regular influenza kills more people annually than the coronavirus has since its discover… https://t.co/hzCCBXj4Wc,"Akron, Summit County, Ohio, United States of America","(41.083064, -81.518485, 0.0)",41.083064,-81.518485,0.0
8765,"Kirksville, MO","MEMPHIS, Mo. — Community partners in Scotland County, Missouri, are making preparations should coronavirus hit clos… https://t.co/IcSq5J6vE0","Kirksville, Adair County, Missouri, 63501, United States of America","(40.1948848, -92.5833939, 0.0)",40.1948848,-92.5833939,0.0
8767,North Vancouver,Today on @NEWS1130:  Some of the 237 Canadians from a cruise ship with a cluster of COVID-19 cases have arrived bac… https://t.co/2OStkXI732,"North Vancouver, Metro Vancouver Regional District, British Columbia, V7M 1H9, Canada","(49.3207133, -123.0737831, 0.0)",49.3207133,-123.0737831,0.0
8769,"Mumbai, India","Italy has become the first country to attempt a nationwide lockdown to stop the spread of #coronavirus.
https://t.co/VKuIXgUg9s","Mumbai, Mumbai City, Maharashtra, India","(18.9387711, 72.8353355, 0.0)",18.9387711,72.8353355,0.0
8770,Bahrain,"Bahrain yesterday stepped up its fight against the coronavirus, announcing a string of preventive measures.

Read m… https://t.co/Ssv1rpqETG",‏البحرين‎,"(26.1551249, 50.5344606, 0.0)",26.1551249,50.5344606,0.0
8772,"Anniston, AL",Alabama nursing homes are screening visitors and stocking up on supplies as COVID-19 worries grow around the nation… https://t.co/B0OBHQHN9l,"Anniston, Calhoun County, Alabama, United States of America","(33.695381, -85.83984227882328, 0.0)",33.695381,-85.83984227882328,0.0
8773,"Washington, DC","Article by Robert E. Hunter:
How the #coronavirus crisis is a dress rehearsal for combatting #climatechange… https://t.co/K8qbZ5Dshz","Washington, District of Columbia, 20500, United States of America","(38.8948932, -77.0365529, 0.0)",38.8948932,-77.0365529,0.0
8778,"Rochester, NY USA",Gas prices could drop below $2 per gallon due to coronavirus concerns https://t.co/Sxm2NXkLV9,"Rochester, Monroe County, New York, United States of America","(43.157285, -77.615214, 0.0)",43.157285,-77.615214,0.0
8779,"Fargo, ND",Have you delayed anything or changed plans because of #coronavirus?,"Fargo, Cass County, North Dakota, United States of America","(46.877229, -96.789821, 0.0)",46.877229,-96.789821,0.0
8783,"Orlando, Florida",Coming up on #OpenMike at 8:15  #StanVanGundy makes his weekly visit to tell us what #NBA should do about… https://t.co/TW1sknZ9Ny,"Orlando, Central Boulevard, Thornton Park, Orlando, Orange County, Florida, 32801, United States of America","(28.5421109, -81.3790304, 0.0)",28.5421109,-81.3790304,0.0
8787,China,"@Independent_ie Why is this article, relevant to public health, a premium article i.e. you have to pay to read it?… https://t.co/bJzpeZuV4Q",中国,"(35.000074, 104.999927, 0.0)",35.000074,104.999927,0.0
8789,Madrid,Secretary-general and Madrid spokesman for Spain’s Vox party tests positive for coronavirus after the party held a… https://t.co/J0bGuZMDJ6,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España","(40.4167047, -3.7035825, 0.0)",40.4167047,-3.7035825,0.0
8793,United Kingdom,"🎙️ MARTIN BELL

Join @TheMartinBell until 3pm.

⚽ #AVFC suffer 4-0 defeat at #LCFC @jonnygould 
🇩🇪 @ChrisCowlin LIV… https://t.co/odilNaq6KI",United Kingdom,"(54.7023545, -3.2765753, 0.0)",54.7023545,-3.2765753,0.0
8794,"Lexington, Kentucky","Amid #coronavirus concerns, Alltech rethinks its giant annual conference in #Lexington #Kentucky https://t.co/ozL7tLmjug","Lexington, Fayette County, Kentucky, 40508, United States of America","(38.0464066, -84.4970393, 0.0)",38.0464066,-84.4970393,0.0
8796,"Salt Lake City, UT","A last-minute bill is being drafted to allow lawmakers to meet without being in the same place, the latest response… https://t.co/WvBzoHQOGI","Salt Lake City, Utah, United States of America","(40.7596198, -111.8867975, 0.0)",40.7596198,-111.8867975,0.0
8801,Pakistan,"#CoronaVirusUpdates

881 new cases and 54 new deaths in Iran.

#CoronavirusOutbreak
#coronavirus
#COVID2019

https://t.co/zdDL87KpCl",پاکستان,"(30.3308401, 71.247499, 0.0)",30.3308401,71.247499,0.0
8813,"Nairobi, Kenya",So sad on poor Kenyans @ayogo_do  @Mary37496707  @Abdirizaqhassa6,"Nairobi, Kenya","(-1.2832533, 36.8172449, 0.0)",-1.2832533,36.8172449,0.0
8825,London,#Lebanese Parliament Shut For A Week Over Coronavirus Fears https://t.co/GCdL9QDGqR,"London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)",51.5073219,-0.1276474,0.0
8831,London,So daughter @MelisaKristella is currenly flying to Mexico for a dream holiday &amp; I dont know weather I should be exc… https://t.co/YqyxdUEbMv,"London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)",51.5073219,-0.1276474,0.0
8834,"Warwick, RI","CDC urges elderly to stock up on food, stay home amid coronavirus fears https://t.co/3QgHfL5807 via @nypost","Warwick, Kent County, Rhode Island, United States of America","(41.7002024, -71.4161108, 0.0)",41.7002024,-71.4161108,0.0
8835,Gemini,DAMN,"Gemini, Fresno County, California, United States of America","(37.2968818, -118.8165058, 0.0)",37.2968818,-118.8165058,0.0
8844,"Knoxville, TN",Have you heard a cure for coronavirus was found by UT scientists? It's not true. https://t.co/qB45P5GCFT,"Knoxville, Knox County, Tennessee, United States of America","(35.9603948, -83.9210261, 0.0)",35.9603948,-83.9210261,0.0
8846,"Tuscaloosa, Alabama","Unfortunately, our members will be unable to attend the Columbia Scholastic Press Association's spring convention i… https://t.co/e5ZzyoxQzQ","Tuscaloosa, Tuscaloosa County, Alabama, United States of America","(33.2095614, -87.5675258, 0.0)",33.2095614,-87.5675258,0.0
8853,"El Paso, Texas",Vitalant Blood urges Borderland residents to donate blood during coronavirus outbreak to ensure local hospital pati… https://t.co/tmGRWK0WTV,"El Paso, El Paso County, Texas, United States of America","(31.7754152, -106.4646348, 0.0)",31.7754152,-106.4646348,0.0
8861,Right here↩,@EarlyStart 1. The Epidemiological Characteristics of an Outbreak of 2019 Novel Coronavirus Diseases (COVID-19) - C… https://t.co/6dZC83PqWy,"Shoes Right Here, OR 99, Grants Pass, Josephine County, Oregon, 97506, United States of America","(42.42482835, -123.32814009114388, 0.0)",42.42482835,-123.32814009114388,0.0
8864,New York,#coronavirus has changed the way most people work with  #remoteworking becoming the norm even for public schools. C… https://t.co/8TdShjP8n6,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
8865,NYC,Yet again when it comes to #COVID19 I am in agreement with @realDonaldTrump - the gloom-&amp;-doom response is not matc… https://t.co/vEel8wKLeB,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,0.0
8866,UAE,"CoronaVirus: Burkina Faso has confirmed 2 coronavirus cases – the country’s first, the health ministry reported.… https://t.co/imEtXIAokM",Україна,"(49.4871968, 31.2718321, 0.0)",49.4871968,31.2718321,0.0
8868,"Akron, OH",The Mid-American Conference men’s and women’s basketball tournaments will go on as scheduled despite coronavirus co… https://t.co/7r2Q32Bu46,"Akron, Summit County, Ohio, United States of America","(41.083064, -81.518485, 0.0)",41.083064,-81.518485,0.0
8874,United States,"Shall we reflect?  We are clearly in a repeat loop. Elect Republicans who promise to slash government and taxes, we… https://t.co/ayFbaRFOsB",United States,"(39.7837304, -100.4458825, 0.0)",39.7837304,-100.4458825,0.0
8875,"Central Coast, California","Jeopardy, Wheel of Fortune to tape episodes without a studio audience amid #coronavirus fears https://t.co/IN6RKrjfsS","California Circle, Tuggerah, Central Coast Council, New South Wales, 2259, Australia","(-33.3107798, 151.4350326, 0.0)",-33.3107798,151.4350326,0.0
8878,"Pittsburgh, PA","REMOTE LEARNING: Local universities have contingency plans in place for a potential Coronavirus outbreak.
https://t.co/46b4J0omWO","Pittsburgh, Allegheny County, Pennsylvania, 15262, United States of America","(40.4416941, -79.9900861, 0.0)",40.4416941,-79.9900861,0.0
8882,Central Arkansas,President Donald Trump says his administration will ask Congress to pass payroll tax relief as he looks to calm fin… https://t.co/iNVgxunVez,"Arkansas, United States of America","(35.2048883, -92.4479108, 0.0)",35.2048883,-92.4479108,0.0
8892,India,"*How to kills coronavirus
 By Drink Alcohol, Masterbation, Sex
Me https://t.co/44BOVJrgiu",India,"(22.3511148, 78.6677428, 0.0)",22.3511148,78.6677428,0.0
8898,"Sacramento, CA","Very interesting day in politics. 

Bernie pretty much has to win Michigan, or Biden will have it wrapped by next T… https://t.co/cm5BohaZjh","Sacramento, Sacramento County, California, United States of America","(38.5815719, -121.4943996, 0.0)",38.5815719,-121.4943996,0.0
8900,"London, UK",Gives new meaning to the Wiper's Times,"London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474, 0.0)",51.5073219,-0.1276474,0.0
8902,"Sacramento, CA","Stockton is getting a new affordable housing development, the Sacramento Police Department is facing a lawsuit, and… https://t.co/LkRH8H1pqt","Sacramento, Sacramento County, California, United States of America","(38.5815719, -121.4943996, 0.0)",38.5815719,-121.4943996,0.0
8903,"Chicago, Illinois","MLB, NBA and NHL close locker rooms to media due to coronavirus concern https://t.co/oixZgdZLsT","Chicago, Cook County, Illinois, United States of America","(41.8755616, -87.6244212, 0.0)",41.8755616,-87.6244212,0.0
8912,Arda,"#BorisJohnson at #PMQs, asked about #Coronavirus.

https://t.co/H7G1UTIhGk","Арда, Смолян, 4761, България","(41.46174, 24.63866, 0.0)",41.46174,24.63866,0.0
8916,UK,Member news: China increases remote access to scientific information for students in response to Coronavirus lock d… https://t.co/c5f569eguH,United Kingdom,"(54.7023545, -3.2765753, 0.0)",54.7023545,-3.2765753,0.0
8917,Midwest USA,"@CNN ""The one campaign that did appear to be adjusting to the coronavirus outbreak Monday is Biden's. More than a d… https://t.co/lkgD28q6jj","Midwest, Natrona County, Wyoming, United States of America","(43.411391, -106.280075, 0.0)",43.411391,-106.280075,0.0
8922,"Helsinki, Suomi","@GlobalProTrader To accomplish what, exactly? There's nothing that can be done to offset the impact of the coronavi… https://t.co/5PMntkIZUq","Helsinki, Helsingin seutukunta, Uusimaa, Manner-Suomi, Suomi","(60.1674098, 24.9425769, 0.0)",60.1674098,24.9425769,0.0
8923,"Washington, D.C., USA",This is what this asshat is thinking about instead of Coronavirus potentially killing 4% of the population. Jesus s… https://t.co/JUISL2dgFt,"Washington, District of Columbia, 20500, United States of America","(38.8948932, -77.0365529, 0.0)",38.8948932,-77.0365529,0.0
8926,C's,"@elisestefanik are you part of this

CORONAVIRUS IMPEACHMENT SCAM

#ny21 would like to know what you are
doing to m… https://t.co/zgPByoZ2FZ","Cosenza, Calabria, Italia","(39.596685300000004, 16.333055599019605, 0.0)",39.596685300000004,16.333055599019605,0.0
